Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
28/09/2021,18°C,22°C,21 Km/h,,0mm,,"1013,2mb",,eventos climáticos não informados
29/09/2021,19°C,24°C,22 Km/h,,0mm,,"1013,5mb",,eventos climáticos não informados
30/09/2021,13°C,18°C,5 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
01/10/2021,12°C,24°C,16 Km/h,,0mm,,"1024,3mb",,eventos climáticos não informados
02/10/2021,14°C,19°C,8 Km/h,,0mm,,"1024,3mb",,eventos climáticos não informados
03/10/2021,18°C,22°C,8 Km/h,,0mm,,"1018,4mb",,eventos climáticos não informados
04/10/2021,23°C,23°C,16 Km/h,,0mm,,"1013,0mb",,eventos climáticos não informados
05/10/2021,20°C,28°C,28 Km/h,,0mm,,"1019,2mb",,eventos climáticos não informados
06/10/2021,20°C,22°C,21 Km/h,,0mm,,"1025,5mb",,Chuva
07/10/2021,19°C,22°C,11 Km/h,,0mm,,"1026,8mb",,eventos climáticos não informados
08/10/2021,19°C,21°C,9 Km/h,,0mm,,"1022,0mb",,eventos climáticos não informados
09/10/2021,19°C,22°C,15 Km/h,,0mm,,"1020,1mb",,eventos climáticos não informados
10/10/2021,18°C,23°C,28 Km/h,,"0,2mm",,"1018,7mb",,Chuva
11/10/2021,19°C,19°C,,,1mm,,"1017,8mb",,Chuva
12/10/2021,19°C,21°C,15 Km/h,,0mm,,"1018,5mb",,eventos climáticos não informados
13/10/2021,19°C,20°C,9 Km/h,,"1,5mm",,"1018,0mb",,eventos climáticos não informados
14/10/2021,18°C,21°C,9 Km/h,,0mm,,"1016,3mb",,eventos climáticos não informados
15/10/2021,18°C,21°C,5 Km/h,,0mm,,"1014,4mb",,eventos climáticos não informados
16/10/2021,19°C,22°C,16 Km/h,,0mm,,"1010,8mb",,eventos climáticos não informados
17/10/2021,13°C,16°C,16 Km/h,,"7,6mm",,"1013,3mb",,eventos climáticos não informados
18/10/2021,10°C,14°C,13 Km/h,,0mm,,"1016,2mb",,eventos climáticos não informados
19/10/2021,11°C,16°C,9 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
20/10/2021,12°C,25°C,21 Km/h,29 Km/h,0mm,,"1020,3mb",,eventos climáticos não informados
21/10/2021,13°C,18°C,11 Km/h,,0mm,,"1018,8mb",,eventos climáticos não informados
22/10/2021,19°C,21°C,,,0mm,,"1011,1mb",,eventos climáticos não informados
23/10/2021,13°C,17°C,13 Km/h,,0mm,,"1014,4mb",,eventos climáticos não informados
24/10/2021,13°C,16°C,,,0mm,,"1018,9mb",,Chuva
25/10/2021,17°C,18°C,24 Km/h,,0mm,,"1016,9mb",,eventos climáticos não informados
26/10/2021,16°C,19°C,24 Km/h,35 Km/h,"39,3mm",,"1003,2mb",,Tempestade de raios Chuva
27/10/2021,12°C,12°C,35 Km/h,58 Km/h,"2,7mm",,"1004,4mb",,eventos climáticos não informados
28/10/2021,12°C,17°C,15 Km/h,,0mm,,"1012,3mb",,eventos climáticos não informados
29/10/2021,14°C,17°C,26 Km/h,39 Km/h,0mm,,"1010,4mb",,Chuva
30/10/2021,14°C,16°C,13 Km/h,,"29,2mm",,"999,3mb",,Chuva
31/10/2021,11°C,15°C,11 Km/h,,1mm,,"1001,7mb",,eventos climáticos não informados
01/11/2021,11°C,21°C,28 Km/h,39 Km/h,0mm,,"1018,4mb",,eventos climáticos não informados
02/11/2021,9°C,12°C,8 Km/h,,0mm,,"1023,8mb",,eventos climáticos não informados
03/11/2021,6°C,8°C,15 Km/h,,"2,5mm",,"1025,5mb",,eventos climáticos não informados
04/11/2021,7°C,9°C,11 Km/h,,0mm,,"1028,0mb",,eventos climáticos não informados
05/11/2021,3°C,8°C,9 Km/h,,0mm,,"1025,5mb",,eventos climáticos não informados
06/11/2021,3°C,9°C,9 Km/h,,0mm,,"1029,9mb",,eventos climáticos não informados
07/11/2021,5°C,9°C,11 Km/h,,0mm,,"1024,7mb",,eventos climáticos não informados
08/11/2021,7°C,10°C,16 Km/h,,0mm,,"1020,2mb",,eventos climáticos não informados
09/11/2021,7°C,14°C,15 Km/h,,0mm,,"1022,7mb",,eventos climáticos não informados
10/11/2021,10°C,14°C,5 Km/h,,0mm,,"1017,9mb",,eventos climáticos não informados
11/11/2021,8°C,23°C,24 Km/h,,0mm,,"1022,5mb",,eventos climáticos não informados
12/11/2021,8°C,21°C,32 Km/h,50 Km/h,"14,2mm",,"1015,0mb",,Chuva
13/11/2021,8°C,13°C,8 Km/h,,"16,2mm",,"1013,2mb",,eventos climáticos não informados
14/11/2021,2°C,7°C,13 Km/h,,"0,2mm",,"1016,4mb",,eventos climáticos não informados
15/11/2021,7°C,9°C,21 Km/h,29 Km/h,0mm,,"1009,8mb",,eventos climáticos não informados
16/11/2021,3°C,6°C,16 Km/h,,0mm,,"1021,2mb",,eventos climáticos não informados
17/11/2021,5°C,9°C,13 Km/h,,0mm,,"1024,6mb",,eventos climáticos não informados
18/11/2021,12°C,14°C,,,0mm,,"1020,1mb",,eventos climáticos não informados
19/11/2021,6°C,13°C,35 Km/h,61 Km/h,"1,5mm",,"1021,3mb",,Chuva
20/11/2021,1°C,4°C,21 Km/h,,0mm,,"1034,4mb",,eventos climáticos não informados
21/11/2021,3°C,7°C,9 Km/h,,0mm,,"1029,9mb",,eventos climáticos não informados
22/11/2021,9°C,11°C,16 Km/h,,"0,2mm",,"1015,3mb",,Chuva
23/11/2021,1°C,6°C,26 Km/h,41 Km/h,0mm,,"1017,8mb",,eventos climáticos não informados
24/11/2021,-1°C,9°C,21 Km/h,,0mm,,"1028,0mb",,eventos climáticos não informados
25/11/2021,3°C,6°C,11 Km/h,,0mm,,"1026,2mb",,eventos climáticos não informados
26/11/2021,7°C,11°C,11 Km/h,,0mm,,"1009,9mb",,Chuva
27/11/2021,2°C,3°C,28 Km/h,41 Km/h,0mm,,"1014,7mb",,eventos climáticos não informados
28/11/2021,6°C,6°C,11 Km/h,,0mm,,"1014,4mb",,eventos climáticos não informados
29/11/2021,4°C,9°C,32 Km/h,45 Km/h,0mm,,"1012,1mb",,eventos climáticos não informados
30/11/2021,2°C,4°C,9 Km/h,,0mm,,"1019,1mb",,eventos climáticos não informados
01/12/2021,2°C,3°C,8 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
02/12/2021,9°C,10°C,13 Km/h,,,,"1018,4mb",,Chuva
03/12/2021,7°C,18°C,39 Km/h,59 Km/h,0mm,,"1014,1mb",,eventos climáticos não informados
04/12/2021,6°C,8°C,15 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
05/12/2021,4°C,10°C,9 Km/h,,0mm,,"1023,9mb",,eventos climáticos não informados
06/12/2021,8°C,9°C,8 Km/h,,0mm,,"1021,1mb",,eventos climáticos não informados
07/12/2021,3°C,17°C,48 Km/h,79 Km/h,0mm,,"1017,0mb",,eventos climáticos não informados
08/12/2021,2°C,3°C,11 Km/h,,0mm,,"1021,5mb",,eventos climáticos não informados
09/12/2021,0°C,6°C,32 Km/h,42 Km/h,0mm,,"1019,0mb",,eventos climáticos não informados
10/12/2021,-1°C,13°C,21 Km/h,,"0,2mm",,"1021,1mb",,Chuva
11/12/2021,4°C,21°C,35 Km/h,52 Km/h,0mm,,"1011,4mb",,Chuva
12/12/2021,5°C,21°C,39 Km/h,74 Km/h,4mm,,"1019,0mb",,Chuva
13/12/2021,1°C,11°C,16 Km/h,,0mm,,"1027,7mb",,eventos climáticos não informados
14/12/2021,2°C,6°C,11 Km/h,,0mm,,"1028,1mb",,eventos climáticos não informados
15/12/2021,3°C,9°C,11 Km/h,,0mm,,"1036,0mb",,eventos climáticos não informados
16/12/2021,8°C,19°C,24 Km/h,32 Km/h,0mm,,"1022,3mb",,eventos climáticos não informados
17/12/2021,13°C,17°C,21 Km/h,,0mm,,"1016,1mb",,eventos climáticos não informados
18/12/2021,11°C,13°C,16 Km/h,,0mm,,"1022,3mb",,Chuva
19/12/2021,12°C,14°C,29 Km/h,50 Km/h,0mm,,"1011,3mb",,eventos climáticos não informados
20/12/2021,-2°C,4°C,24 Km/h,,0mm,,"1026,8mb",,eventos climáticos não informados
21/12/2021,-1°C,2°C,11 Km/h,,0mm,,"1023,9mb",,eventos climáticos não informados
22/12/2021,3°C,4°C,13 Km/h,,"1,7mm",,,,Chuva
23/12/2021,-1°C,4°C,28 Km/h,42 Km/h,"0,5mm",,"1018,7mb",,eventos climáticos não informados
24/12/2021,3°C,6°C,26 Km/h,,0mm,,"1019,5mb",,eventos climáticos não informados
25/12/2021,9°C,11°C,13 Km/h,,0mm,,"1010,0mb",,eventos climáticos não informados
26/12/2021,14°C,18°C,28 Km/h,41 Km/h,"1,7mm",,"1005,6mb",,Chuva
27/12/2021,5°C,10°C,,,0mm,,"1019,9mb",,eventos climáticos não informados
28/12/2021,4°C,6°C,11 Km/h,,0mm,,"1010,4mb",,eventos climáticos não informados
29/12/2021,4°C,14°C,21 Km/h,,0mm,,"1010,1mb",,Chuva
30/12/2021,8°C,9°C,15 Km/h,,3mm,,"1013,6mb",,Chuva
01/01/2022,12°C,17°C,,,1mm,,"1010,1mb",,Nevoeiro Chuva
02/01/2022,12°C,19°C,26 Km/h,39 Km/h,"14,2mm",,"1004,7mb",,Nevoeiro Chuva
03/01/2022,-2°C,17°C,46 Km/h,61 Km/h,"7,8mm",18cm,"1017,5mb",,Nevoeiro Neve Chuva
04/01/2022,-5°C,8°C,24 Km/h,32 Km/h,"17,2mm","12,9cm","1029,4mb",,eventos climáticos não informados
05/01/2022,-5°C,5°C,22 Km/h,,0mm,5cm,"1018,2mb",,eventos climáticos não informados
06/01/2022,-3°C,6°C,,32 Km/h,0mm,3cm,"1011,7mb",,eventos climáticos não informados
07/01/2022,-2°C,7°C,35 Km/h,50 Km/h,"4,8mm",5cm,"1015,3mb",,Nevoeiro Neve
08/01/2022,-6°C,2°C,21 Km/h,,0mm,3cm,"1033,8mb",,eventos climáticos não informados
09/01/2022,-6°C,6°C,26 Km/h,32 Km/h,"1,2mm",,"1028,5mb",,Chuva
10/01/2022,-1°C,8°C,34 Km/h,50 Km/h,"14,7mm",,"1022,2mb",,Chuva
11/01/2022,-3°C,0°C,35 Km/h,54 Km/h,0mm,,"1027,5mb",,eventos climáticos não informados
12/01/2022,-5°C,-4°C,16 Km/h,,0mm,,"1032,5mb",,eventos climáticos não informados
13/01/2022,1°C,6°C,5 Km/h,,0mm,,"1018,6mb",,eventos climáticos não informados
14/01/2022,3°C,6°C,13 Km/h,,0mm,,"1010,2mb",,eventos climáticos não informados
15/01/2022,-1°C,5°C,32 Km/h,41 Km/h,0mm,,"1018,2mb",,eventos climáticos não informados
16/01/2022,-8°C,-5°C,21 Km/h,,0mm,,"1029,4mb",,eventos climáticos não informados
17/01/2022,1°C,4°C,45 Km/h,65 Km/h,"22,8mm",3cm,"990,9mb",,Chuva
18/01/2022,2°C,2°C,37 Km/h,59 Km/h,"0,5mm",3cm,"1006,8mb",,eventos climáticos não informados
19/01/2022,-1°C,1°C,13 Km/h,,0mm,,"1022,5mb",,eventos climáticos não informados
20/01/2022,6°C,10°C,21 Km/h,,"0,7mm",,"1016,8mb",,Chuva
21/01/2022,-4°C,0°C,32 Km/h,41 Km/h,"7,1mm",,"1029,5mb",,eventos climáticos não informados
22/01/2022,-7°C,-4°C,22 Km/h,,0mm,,"1032,1mb",,eventos climáticos não informados
23/01/2022,-3°C,-1°C,13 Km/h,,0mm,,"1020,8mb",,eventos climáticos não informados
24/01/2022,1°C,3°C,11 Km/h,,0mm,,"1009,9mb",,Neve
25/01/2022,1°C,4°C,,,0mm,,"1010,1mb",,eventos climáticos não informados
26/01/2022,-3°C,1°C,29 Km/h,39 Km/h,0mm,,"1024,0mb",,eventos climáticos não informados
27/01/2022,-6°C,-2°C,,,0mm,,"1032,1mb",,eventos climáticos não informados
28/01/2022,-1°C,1°C,16 Km/h,,0mm,,"1024,1mb",,eventos climáticos não informados
29/01/2022,-1°C,1°C,39 Km/h,52 Km/h,3mm,,"1013,0mb",,Neve
30/01/2022,-7°C,-4°C,29 Km/h,50 Km/h,0mm,,"1016,6mb",,eventos climáticos não informados
31/01/2022,-4°C,-1°C,11 Km/h,,0mm,,"1021,3mb",,eventos climáticos não informados
01/02/2022,-3°C,-2°C,11 Km/h,,0mm,,"1031,1mb",,eventos climáticos não informados
02/02/2022,-1°C,2°C,9 Km/h,,0mm,,"1032,4mb",,eventos climáticos não informados
03/02/2022,4°C,7°C,9 Km/h,,0mm,,"1026,3mb",,Chuva
04/02/2022,4°C,17°C,32 Km/h,45 Km/h,"12,1mm",,"1014,3mb",,Nevoeiro Chuva
05/02/2022,-1°C,4°C,39 Km/h,59 Km/h,"24,6mm",,"1024,4mb",,eventos climáticos não informados
06/02/2022,-4°C,4°C,,,0mm,,"1035,0mb",,eventos climáticos não informados
07/02/2022,1°C,1°C,9 Km/h,,0mm,,"1030,6mb",,eventos climáticos não informados
08/02/2022,2°C,4°C,15 Km/h,,"1,7mm",,"1016,6mb",,Chuva
09/02/2022,-1°C,4°C,8 Km/h,,0mm,,"1019,5mb",,eventos climáticos não informados
10/02/2022,4°C,7°C,21 Km/h,,0mm,,"1012,5mb",,eventos climáticos não informados
11/02/2022,3°C,10°C,9 Km/h,,0mm,,"1014,7mb",,eventos climáticos não informados
12/02/2022,11°C,13°C,26 Km/h,,0mm,,"1012,0mb",,eventos climáticos não informados
13/02/2022,4°C,11°C,29 Km/h,,0mm,,"1019,9mb",,Chuva
14/02/2022,-2°C,-1°C,16 Km/h,,"0,7mm",,"1019,4mb",,eventos climáticos não informados
15/02/2022,-6°C,-1°C,15 Km/h,29 Km/h,0mm,,"1032,3mb",,eventos climáticos não informados
16/02/2022,-1°C,2°C,,,0mm,,"1039,2mb",,eventos climáticos não informados
17/02/2022,8°C,9°C,21 Km/h,,0mm,,"1028,7mb",,eventos climáticos não informados
18/02/2022,14°C,18°C,37 Km/h,52 Km/h,0mm,,"1004,2mb",,Chuva
19/02/2022,-2°C,3°C,16 Km/h,,0mm,,"1020,7mb",,eventos climáticos não informados
20/02/2022,-5°C,-1°C,29 Km/h,46 Km/h,0mm,,"1030,8mb",,eventos climáticos não informados
21/02/2022,2°C,4°C,24 Km/h,,0mm,,"1027,5mb",,eventos climáticos não informados
22/02/2022,9°C,12°C,13 Km/h,,0mm,,"1025,4mb",,eventos climáticos não informados
23/02/2022,14°C,19°C,42 Km/h,65 Km/h,"1,7mm",,"1015,8mb",,Chuva
24/02/2022,4°C,13°C,35 Km/h,,"0,2mm",,"1026,2mb",,eventos climáticos não informados
25/02/2022,1°C,1°C,,,"8,8mm",,"1028,5mb",,Chuva
26/02/2022,2°C,7°C,34 Km/h,52 Km/h,"4,8mm",,"1028,4mb",,eventos climáticos não informados
27/02/2022,2°C,4°C,13 Km/h,,0mm,,"1025,8mb",,eventos climáticos não informados
28/02/2022,4°C,10°C,,,0mm,,"1018,2mb",,eventos climáticos não informados
01/03/2022,1°C,2°C,13 Km/h,,0mm,,"1024,5mb",,eventos climáticos não informados
02/03/2022,6°C,11°C,22 Km/h,,0mm,,"1014,9mb",,eventos climáticos não informados
03/03/2022,8°C,11°C,16 Km/h,,0mm,,"1013,5mb",,eventos climáticos não informados
04/03/2022,0°C,8°C,37 Km/h,52 Km/h,0mm,,"1029,7mb",,eventos climáticos não informados
05/03/2022,3°C,5°C,13 Km/h,,0mm,,"1031,6mb",,eventos climáticos não informados
06/03/2022,9°C,12°C,22 Km/h,,0mm,,"1023,7mb",,eventos climáticos não informados
07/03/2022,15°C,23°C,24 Km/h,45 Km/h,0mm,,"1016,3mb",,Chuva
08/03/2022,8°C,20°C,42 Km/h,71 Km/h,"0,7mm",,"1011,4mb",,Chuva
09/03/2022,7°C,8°C,15 Km/h,,0mm,,"1021,0mb",,Chuva
10/03/2022,3°C,6°C,21 Km/h,,"19,5mm",,"1019,0mb",,eventos climáticos não informados
11/03/2022,4°C,9°C,11 Km/h,,0mm,,"1020,4mb",,eventos climáticos não informados
12/03/2022,9°C,11°C,24 Km/h,37 Km/h,0mm,,"1006,5mb",,eventos climáticos não informados
13/03/2022,-4°C,-3°C,39 Km/h,54 Km/h,"14,7mm",,"1018,4mb",,eventos climáticos não informados
14/03/2022,1°C,4°C,13 Km/h,,0mm,,"1026,2mb",,eventos climáticos não informados
15/03/2022,7°C,11°C,15 Km/h,,0mm,,"1028,2mb",,eventos climáticos não informados
16/03/2022,11°C,14°C,16 Km/h,,0mm,,"1021,2mb",,eventos climáticos não informados
17/03/2022,10°C,15°C,11 Km/h,,0mm,,"1018,8mb",,Chuva
18/03/2022,9°C,13°C,15 Km/h,,"21,8mm",,"1014,6mb",,eventos climáticos não informados
19/03/2022,15°C,18°C,22 Km/h,39 Km/h,0mm,,"1011,7mb",,eventos climáticos não informados
20/03/2022,14°C,21°C,26 Km/h,37 Km/h,0mm,,"1008,2mb",,eventos climáticos não informados
21/03/2022,10°C,11°C,22 Km/h,37 Km/h,0mm,,"1019,1mb",,eventos climáticos não informados
22/03/2022,11°C,16°C,15 Km/h,,0mm,,"1019,9mb",,eventos climáticos não informados
23/03/2022,11°C,14°C,15 Km/h,,0mm,,"1021,4mb",,eventos climáticos não informados
24/03/2022,11°C,13°C,13 Km/h,,"12,4mm",,"1011,4mb",,Tempestade de raios Chuva
25/03/2022,10°C,12°C,,,"0,5mm",,,,Chuva
26/03/2022,11°C,13°C,21 Km/h,35 Km/h,0mm,,"1004,4mb",,eventos climáticos não informados
27/03/2022,4°C,7°C,28 Km/h,52 Km/h,0mm,,"1007,1mb",,eventos climáticos não informados
28/03/2022,-1°C,3°C,34 Km/h,58 Km/h,0mm,,"1015,9mb",,eventos climáticos não informados
29/03/2022,-3°C,-1°C,34 Km/h,54 Km/h,0mm,,"1023,3mb",,eventos climáticos não informados
30/03/2022,3°C,7°C,8 Km/h,,0mm,,"1024,0mb",,eventos climáticos não informados
31/03/2022,11°C,13°C,16 Km/h,,0mm,,"1012,9mb",,eventos climáticos não informados
01/04/2022,14°C,18°C,28 Km/h,,0mm,,"1000,4mb",,Chuva
02/04/2022,7°C,8°C,26 Km/h,42 Km/h,"5,3mm",,"1018,9mb",,eventos climáticos não informados
03/04/2022,8°C,11°C,,,0mm,,"1012,8mb",,eventos climáticos não informados
04/04/2022,6°C,9°C,24 Km/h,39 Km/h,0mm,,"1016,9mb",,eventos climáticos não informados
05/04/2022,9°C,12°C,13 Km/h,,0mm,,"1016,7mb",,eventos climáticos não informados
06/04/2022,12°C,12°C,28 Km/h,,"21,3mm",,,,Chuva
07/04/2022,11°C,14°C,29 Km/h,45 Km/h,"21,8mm",,,,Chuva
08/04/2022,9°C,11°C,16 Km/h,,"17,2mm",,"1004,1mb",,eventos climáticos não informados
09/04/2022,7°C,12°C,34 Km/h,46 Km/h,"3,8mm",,"1005,5mb",,Tempestade de raios Chuva
10/04/2022,6°C,11°C,22 Km/h,35 Km/h,1mm,,"1009,4mb",,eventos climáticos não informados
11/04/2022,4°C,10°C,16 Km/h,,0mm,,"1018,2mb",,eventos climáticos não informados
12/04/2022,12°C,14°C,16 Km/h,,0mm,,"1016,4mb",,eventos climáticos não informados
13/04/2022,14°C,21°C,16 Km/h,,0mm,,"1017,2mb",,eventos climáticos não informados
14/04/2022,23°C,27°C,32 Km/h,59 Km/h,0mm,,"1009,1mb",,eventos climáticos não informados
15/04/2022,11°C,17°C,22 Km/h,,"0,7mm",,"1017,4mb",,eventos climáticos não informados
16/04/2022,16°C,17°C,29 Km/h,45 Km/h,0mm,,"1018,1mb",,eventos climáticos não informados
17/04/2022,13°C,21°C,41 Km/h,54 Km/h,0mm,,"1013,7mb",,Tempestade de raios Chuva
18/04/2022,6°C,15°C,28 Km/h,46 Km/h,0mm,,"1024,3mb",,Chuva
19/04/2022,4°C,13°C,35 Km/h,61 Km/h,"23,1mm",,"1013,2mb",,Chuva
20/04/2022,4°C,17°C,24 Km/h,35 Km/h,0mm,,"1027,5mb",,eventos climáticos não informados
21/04/2022,5°C,20°C,28 Km/h,41 Km/h,0mm,,"1030,3mb",,Chuva
22/04/2022,9°C,25°C,21 Km/h,32 Km/h,0mm,,"1028,7mb",,eventos climáticos não informados
23/04/2022,11°C,26°C,16 Km/h,,0mm,,"1026,8mb",,eventos climáticos não informados
24/04/2022,12°C,28°C,22 Km/h,,0mm,,"1020,8mb",,eventos climáticos não informados
25/04/2022,12°C,28°C,21 Km/h,35 Km/h,0mm,,"1020,2mb",,eventos climáticos não informados
26/04/2022,15°C,17°C,16 Km/h,,0mm,,"1018,6mb",,eventos climáticos não informados
27/04/2022,10°C,16°C,24 Km/h,37 Km/h,"2,5mm",,"1018,3mb",,eventos climáticos não informados
28/04/2022,4°C,11°C,35 Km/h,54 Km/h,0mm,,"1020,9mb",,eventos climáticos não informados
29/04/2022,7°C,13°C,21 Km/h,,0mm,,"1021,7mb",,eventos climáticos não informados
30/04/2022,8°C,14°C,16 Km/h,,0mm,,"1021,3mb",,eventos climáticos não informados
01/05/2022,7°C,20°C,15 Km/h,,0mm,,"1019,0mb",,Chuva
02/05/2022,13°C,14°C,16 Km/h,,"3,3mm",,"1016,2mb",,eventos climáticos não informados
03/05/2022,16°C,22°C,13 Km/h,,0mm,,"1017,0mb",,eventos climáticos não informados
04/05/2022,14°C,19°C,26 Km/h,41 Km/h,"9,1mm",,"1015,4mb",,Tempestade de raios Chuva
05/05/2022,15°C,20°C,,34 Km/h,"13,2mm",,"1017,1mb",,eventos climáticos não informados
06/05/2022,16°C,16°C,11 Km/h,,0mm,,"1016,4mb",,eventos climáticos não informados
07/05/2022,11°C,15°C,52 Km/h,66 Km/h,"25,4mm",,"1002,8mb",,Tempestade de raios Chuva
08/05/2022,8°C,10°C,34 Km/h,52 Km/h,"32,7mm",,"1013,9mb",,Chuva
09/05/2022,6°C,22°C,24 Km/h,37 Km/h,0mm,,"1022,1mb",,eventos climáticos não informados
10/05/2022,6°C,23°C,29 Km/h,41 Km/h,0mm,,"1025,2mb",,eventos climáticos não informados
11/05/2022,12°C,18°C,11 Km/h,,0mm,,"1025,5mb",,eventos climáticos não informados
12/05/2022,16°C,19°C,9 Km/h,,0mm,,"1023,4mb",,eventos climáticos não informados
13/05/2022,18°C,19°C,16 Km/h,,0mm,,"1023,2mb",,Chuva
14/05/2022,19°C,21°C,13 Km/h,,0mm,,"1020,1mb",,eventos climáticos não informados
15/05/2022,18°C,20°C,11 Km/h,,0mm,,"1014,2mb",,eventos climáticos não informados
16/05/2022,17°C,27°C,39 Km/h,72 Km/h,"11,1mm",,"1007,4mb",,Tempestade de raios Chuva
17/05/2022,16°C,21°C,,,"6,8mm",,"1009,8mb",,eventos climáticos não informados
18/05/2022,14°C,29°C,22 Km/h,,0mm,,"1015,7mb",,eventos climáticos não informados
19/05/2022,16°C,30°C,24 Km/h,42 Km/h,1mm,,"1008,4mb",,Chuva
20/05/2022,20°C,27°C,9 Km/h,,"0,7mm",,"1009,7mb",,eventos climáticos não informados
21/05/2022,24°C,33°C,24 Km/h,,0mm,,"1015,1mb",,eventos climáticos não informados
22/05/2022,24°C,28°C,24 Km/h,,0mm,,"1017,6mb",,eventos climáticos não informados
23/05/2022,17°C,32°C,28 Km/h,46 Km/h,"38,1mm",,"1021,9mb",,Tempestade de raios Chuva
24/05/2022,16°C,18°C,16 Km/h,,0mm,,"1022,9mb",,Chuva
25/05/2022,14°C,17°C,16 Km/h,,"8,1mm",,"1025,5mb",,eventos climáticos não informados
26/05/2022,17°C,19°C,,,0mm,,"1026,4mb",,eventos climáticos não informados
27/05/2022,21°C,21°C,15 Km/h,,0mm,,"1017,4mb",,eventos climáticos não informados
28/05/2022,18°C,23°C,29 Km/h,,"8,3mm",,"1008,1mb",,Tempestade de raios Chuva
29/05/2022,19°C,23°C,11 Km/h,,"0,5mm",,"1014,2mb",,eventos climáticos não informados
30/05/2022,21°C,24°C,11 Km/h,,0mm,,"1018,9mb",,eventos climáticos não informados
31/05/2022,22°C,27°C,15 Km/h,,0mm,,"1018,4mb",,eventos climáticos não informados
01/06/2022,22°C,36°C,24 Km/h,29 Km/h,0mm,,"1013,5mb",,eventos climáticos não informados
02/06/2022,24°C,30°C,13 Km/h,,0mm,,"1009,0mb",,eventos climáticos não informados
03/06/2022,22°C,23°C,11 Km/h,,,,"1007,4mb",,Chuva
04/06/2022,18°C,24°C,9 Km/h,,0mm,,"1012,0mb",,eventos climáticos não informados
05/06/2022,16°C,30°C,24 Km/h,35 Km/h,0mm,,"1014,3mb",,eventos climáticos não informados
06/06/2022,18°C,22°C,11 Km/h,,0mm,,"1016,1mb",,eventos climáticos não informados
07/06/2022,18°C,22°C,24 Km/h,,0mm,,"1017,1mb",,eventos climáticos não informados
08/06/2022,21°C,23°C,15 Km/h,,5mm,,"1012,6mb",,Chuva
09/06/2022,23°C,24°C,16 Km/h,,"0,5mm",,"1007,3mb",,Tempestade de raios Chuva
10/06/2022,19°C,23°C,,,"1,5mm",,"1011,8mb",,eventos climáticos não informados
11/06/2022,16°C,28°C,16 Km/h,,"1,2mm",,"1013,7mb",,Chuva
12/06/2022,18°C,27°C,21 Km/h,,"0,5mm",,"1013,5mb",,Chuva
13/06/2022,22°C,33°C,15 Km/h,,"0,2mm",,"1013,4mb",,eventos climáticos não informados
14/06/2022,22°C,34°C,26 Km/h,35 Km/h,"0,2mm",,"1012,6mb",,Chuva
15/06/2022,21°C,32°C,21 Km/h,,1mm,,"1016,8mb",,eventos climáticos não informados
16/06/2022,25°C,28°C,22 Km/h,,0mm,,"1019,1mb",,eventos climáticos não informados
17/06/2022,24°C,26°C,16 Km/h,,0mm,,"1013,1mb",,eventos climáticos não informados
18/06/2022,24°C,29°C,26 Km/h,,0mm,,"1007,1mb",,eventos climáticos não informados
19/06/2022,16°C,23°C,28 Km/h,45 Km/h,0mm,,"1015,9mb",,eventos climáticos não informados
20/06/2022,16°C,23°C,16 Km/h,,0mm,,"1020,3mb",,eventos climáticos não informados
21/06/2022,19°C,25°C,15 Km/h,,0mm,,"1021,0mb",,eventos climáticos não informados
22/06/2022,22°C,25°C,,,0mm,,"1016,9mb",,eventos climáticos não informados
23/06/2022,20°C,24°C,21 Km/h,37 Km/h,"42,1mm",,,,Tempestade de raios Chuva
24/06/2022,18°C,27°C,15 Km/h,,"1,2mm",,"1017,3mb",,eventos climáticos não informados
25/06/2022,21°C,25°C,13 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
26/06/2022,23°C,27°C,21 Km/h,,0mm,,"1020,1mb",,eventos climáticos não informados
27/06/2022,24°C,27°C,26 Km/h,,0mm,,"1016,1mb",,eventos climáticos não informados
28/06/2022,18°C,26°C,22 Km/h,,"5,3mm",,"1018,7mb",,eventos climáticos não informados
29/06/2022,19°C,25°C,11 Km/h,,0mm,,"1023,4mb",,eventos climáticos não informados
30/06/2022,23°C,27°C,13 Km/h,,0mm,,"1022,8mb",,eventos climáticos não informados
01/07/2022,22°C,33°C,24 Km/h,,0mm,,"1018,8mb",,eventos climáticos não informados
02/07/2022,26°C,29°C,22 Km/h,,0mm,,"1014,7mb",,eventos climáticos não informados
03/07/2022,23°C,30°C,35 Km/h,50 Km/h,0mm,,,,Tempestade de raios Chuva
04/07/2022,22°C,28°C,11 Km/h,,0mm,,"1019,1mb",,eventos climáticos não informados
05/07/2022,23°C,27°C,16 Km/h,,0mm,,"1020,4mb",,eventos climáticos não informados
06/07/2022,25°C,29°C,16 Km/h,,"2,2mm",,"1011,5mb",,eventos climáticos não informados
07/07/2022,25°C,29°C,,,0mm,,"1012,3mb",,eventos climáticos não informados
