Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
05/03/2021,-1°C,6°C,35 Km/h,61 Km/h,0mm,,"1017,5mb",,eventos climáticos não informados
06/03/2021,-2°C,8°C,24 Km/h,46 Km/h,0mm,,"1020,4mb",,eventos climáticos não informados
07/03/2021,2°C,4°C,26 Km/h,,0mm,,"1024,4mb",,eventos climáticos não informados
08/03/2021,1°C,5°C,15 Km/h,,0mm,,"1030,3mb",,eventos climáticos não informados
09/03/2021,3°C,8°C,15 Km/h,,0mm,,"1030,5mb",,eventos climáticos não informados
10/03/2021,7°C,14°C,11 Km/h,,0mm,,"1029,0mb",,eventos climáticos não informados
11/03/2021,12°C,16°C,,,0mm,,"1026,6mb",,eventos climáticos não informados
12/03/2021,11°C,26°C,22 Km/h,35 Km/h,0mm,,"1021,0mb",,eventos climáticos não informados
13/03/2021,8°C,22°C,29 Km/h,50 Km/h,0mm,,"1024,8mb",,eventos climáticos não informados
14/03/2021,8°C,18°C,61 Km/h,89 Km/h,0mm,,"1020,2mb",,eventos climáticos não informados
15/03/2021,3°C,12°C,37 Km/h,55 Km/h,0mm,,"1024,4mb",,eventos climáticos não informados
16/03/2021,5°C,6°C,,,0mm,,"1026,9mb",,eventos climáticos não informados
17/03/2021,5°C,6°C,13 Km/h,,0mm,,,,Chuva
18/03/2021,8°C,10°C,11 Km/h,,0mm,,"1019,2mb",,eventos climáticos não informados
19/03/2021,8°C,11°C,35 Km/h,52 Km/h,"9,3mm",,"1008,1mb",,Chuva
20/03/2021,3°C,6°C,26 Km/h,,0mm,,"1031,4mb",,eventos climáticos não informados
21/03/2021,2°C,17°C,16 Km/h,,0mm,,"1033,8mb",,eventos climáticos não informados
22/03/2021,7°C,12°C,13 Km/h,,0mm,,"1030,8mb",,eventos climáticos não informados
23/03/2021,8°C,13°C,13 Km/h,,0mm,,"1024,6mb",,eventos climáticos não informados
24/03/2021,12°C,16°C,15 Km/h,,0mm,,"1021,0mb",,Chuva
25/03/2021,13°C,15°C,13 Km/h,,"42,9mm",,,,Nevoeiro Chuva
26/03/2021,16°C,29°C,42 Km/h,65 Km/h,0mm,,"1010,9mb",,eventos climáticos não informados
27/03/2021,13°C,19°C,24 Km/h,41 Km/h,0mm,,"1018,4mb",,eventos climáticos não informados
28/03/2021,14°C,17°C,24 Km/h,,0mm,,"1017,1mb",,eventos climáticos não informados
29/03/2021,8°C,16°C,45 Km/h,66 Km/h,"13,4mm",,"1011,4mb",,eventos climáticos não informados
30/03/2021,8°C,13°C,11 Km/h,,0mm,,"1025,8mb",,eventos climáticos não informados
31/03/2021,13°C,15°C,21 Km/h,,0mm,,"1022,7mb",,eventos climáticos não informados
01/04/2021,5°C,19°C,48 Km/h,66 Km/h,"28,1mm",,"1014,9mb",,Chuva
02/04/2021,1°C,4°C,39 Km/h,55 Km/h,"4,8mm",,"1022,7mb",,eventos climáticos não informados
03/04/2021,-1°C,14°C,22 Km/h,,0mm,,"1029,1mb",,eventos climáticos não informados
